Ubigeo,Departamento,Year,Variable,Value
80000,CUSCO,1798,gdpdep,178382.7277
90000,HUANCAVELICA,1798,gdpdep,48138
100000,HUANUCO,1798,gdpdep,34546.03082
110000,ICA,1798,gdpdep,35573
120000,JUNIN,1798,gdpdep,53853.50648
130000,LA LIBERTAD,1798,gdpdep,82167.16335
140000,LAMBAYEQUE,1798,gdpdep,37785
150000,LIMA,1798,gdpdep,192325
160000,LORETO,1798,gdpdep,36416.76
170000,MADRE DE DIOS,1798,gdpdep,37249.00566
180000,MOQUEGUA,1798,gdpdep,29597
190000,PASCO,1798,gdpdep,94191.90958
200000,PIURA,1798,gdpdep,40503
210000,PUNO,1798,gdpdep,57663.43936
220000,SAN MARTIN,1798,gdpdep,40586.06017
230000,TACNA,1798,gdpdep,28212
240000,TUMBES,1798,gdpdep,3808
250000,UCAYALI,1798,gdpdep,48925.51133
10000,AMAZONAS,1799,gdpdep,30400.30791
20000,ANCASH,1799,gdpdep,76960
30000,APURIMAC,1799,gdpdep,75598
40000,AREQUIPA,1799,gdpdep,94462
50000,AYACUCHO,1799,gdpdep,129550
60000,CAJAMARCA,1799,gdpdep,64757.74924
80000,CUSCO,1799,gdpdep,177806.7277
90000,HUANCAVELICA,1799,gdpdep,49596
100000,HUANUCO,1799,gdpdep,34203.03082
110000,ICA,1799,gdpdep,34433
120000,JUNIN,1799,gdpdep,52879.50648
130000,LA LIBERTAD,1799,gdpdep,86734.16335
140000,LAMBAYEQUE,1799,gdpdep,37838
150000,LIMA,1799,gdpdep,191877
160000,LORETO,1799,gdpdep,36257.76
170000,MADRE DE DIOS,1799,gdpdep,37133.00566
180000,MOQUEGUA,1799,gdpdep,30686
190000,PASCO,1799,gdpdep,84031.90958
200000,PIURA,1799,gdpdep,40622
210000,PUNO,1799,gdpdep,61178.43936
220000,SAN MARTIN,1799,gdpdep,40307.06017
230000,TACNA,1799,gdpdep,27383
240000,TUMBES,1799,gdpdep,3730
250000,UCAYALI,1799,gdpdep,48920.51133
10000,AMAZONAS,1800,gdpdep,31263.30791
20000,ANCASH,1800,gdpdep,76313
30000,APURIMAC,1800,gdpdep,74836
40000,AREQUIPA,1800,gdpdep,94476
50000,AYACUCHO,1800,gdpdep,123009
60000,CAJAMARCA,1800,gdpdep,64659.74924
80000,CUSCO,1800,gdpdep,174097.7277
90000,HUANCAVELICA,1800,gdpdep,49740
100000,HUANUCO,1800,gdpdep,33371.03082
110000,ICA,1800,gdpdep,32684
120000,JUNIN,1800,gdpdep,51034.50648
130000,LA LIBERTAD,1800,gdpdep,79833.16335
140000,LAMBAYEQUE,1800,gdpdep,37318
150000,LIMA,1800,gdpdep,187084
160000,LORETO,1800,gdpdep,36043.76
170000,MADRE DE DIOS,1800,gdpdep,36932.00566
180000,MOQUEGUA,1800,gdpdep,30798
190000,PASCO,1800,gdpdep,94994.90958
200000,PIURA,1800,gdpdep,40027
210000,PUNO,1800,gdpdep,63011.43936
220000,SAN MARTIN,1800,gdpdep,39639.06017
230000,TACNA,1800,gdpdep,26249
240000,TUMBES,1800,gdpdep,3590
250000,UCAYALI,1800,gdpdep,48903.51133
10000,AMAZONAS,1801,gdpdep,30953.30791
20000,ANCASH,1801,gdpdep,73328
30000,APURIMAC,1801,gdpdep,70882
40000,AREQUIPA,1801,gdpdep,90563
50000,AYACUCHO,1801,gdpdep,114641
60000,CAJAMARCA,1801,gdpdep,62669.74924
80000,CUSCO,1801,gdpdep,166297.7277
90000,HUANCAVELICA,1801,gdpdep,48196
100000,HUANUCO,1801,gdpdep,32136.03082
110000,ICA,1801,gdpdep,30578
120000,JUNIN,1801,gdpdep,47995.50648
130000,LA LIBERTAD,1801,gdpdep,72834.16335
140000,LAMBAYEQUE,1801,gdpdep,36300
150000,LIMA,1801,gdpdep,180860
160000,LORETO,1801,gdpdep,35773.76
170000,MADRE DE DIOS,1801,gdpdep,36656.00566
180000,MOQUEGUA,1801,gdpdep,29513
190000,PASCO,1801,gdpdep,90467.90958
200000,PIURA,1801,gdpdep,38423
210000,PUNO,1801,gdpdep,61850.43936
220000,SAN MARTIN,1801,gdpdep,38620.06017
230000,TACNA,1801,gdpdep,24723
240000,TUMBES,1801,gdpdep,3415
250000,UCAYALI,1801,gdpdep,48876.51133
10000,AMAZONAS,1802,gdpdep,32086.30791
20000,ANCASH,1802,gdpdep,73154
30000,APURIMAC,1802,gdpdep,70506
40000,AREQUIPA,1802,gdpdep,90436
50000,AYACUCHO,1802,gdpdep,113445
60000,CAJAMARCA,1802,gdpdep,63030.74924
80000,CUSCO,1802,gdpdep,165312.7277
90000,HUANCAVELICA,1802,gdpdep,48695
100000,HUANUCO,1802,gdpdep,31871.03082
110000,ICA,1802,gdpdep,29609
120000,JUNIN,1802,gdpdep,46992.50648
130000,LA LIBERTAD,1802,gdpdep,74351.16335
140000,LAMBAYEQUE,1802,gdpdep,36360
150000,LIMA,1802,gdpdep,179806
160000,LORETO,1802,gdpdep,35670.76
170000,MADRE DE DIOS,1802,gdpdep,36553.00566
180000,MOQUEGUA,1802,gdpdep,29596
190000,PASCO,1802,gdpdep,86708.90958
200000,PIURA,1802,gdpdep,38404
210000,PUNO,1802,gdpdep,63928.43936
220000,SAN MARTIN,1802,gdpdep,38538.06017
230000,TACNA,1802,gdpdep,24141
240000,TUMBES,1802,gdpdep,3365
250000,UCAYALI,1802,gdpdep,48873.51133
10000,AMAZONAS,1803,gdpdep,32183.30791
20000,ANCASH,1803,gdpdep,70411
30000,APURIMAC,1803,gdpdep,67863
40000,AREQUIPA,1803,gdpdep,86789
50000,AYACUCHO,1803,gdpdep,108534
60000,CAJAMARCA,1803,gdpdep,61226.74924
80000,CUSCO,1803,gdpdep,157560.7277
90000,HUANCAVELICA,1803,gdpdep,47666
100000,HUANUCO,1803,gdpdep,30233.03082
110000,ICA,1803,gdpdep,27585
120000,JUNIN,1803,gdpdep,44459.50648
130000,LA LIBERTAD,1803,gdpdep,72794.16335
140000,LAMBAYEQUE,1803,gdpdep,34942
150000,LIMA,1803,gdpdep,170763
160000,LORETO,1803,gdpdep,35386.76
170000,MADRE DE DIOS,1803,gdpdep,36247.00566
180000,MOQUEGUA,1803,gdpdep,28977
190000,PASCO,1803,gdpdep,82966.90958
200000,PIURA,1803,gdpdep,36904
210000,PUNO,1803,gdpdep,71461.43936
220000,SAN MARTIN,1803,gdpdep,37104.06017
230000,TACNA,1803,gdpdep,22511
240000,TUMBES,1803,gdpdep,3169
250000,UCAYALI,1803,gdpdep,48835.51133
10000,AMAZONAS,1804,gdpdep,32662.30791
20000,ANCASH,1804,gdpdep,69840
30000,APURIMAC,1804,gdpdep,66276
40000,AREQUIPA,1804,gdpdep,89133
50000,AYACUCHO,1804,gdpdep,107520
60000,CAJAMARCA,1804,gdpdep,60947.74924
80000,CUSCO,1804,gdpdep,156164.7277
90000,HUANCAVELICA,1804,gdpdep,47083
100000,HUANUCO,1804,gdpdep,30142.03082
110000,ICA,1804,gdpdep,26760
120000,JUNIN,1804,gdpdep,43236.50648
130000,LA LIBERTAD,1804,gdpdep,75199.16335
140000,LAMBAYEQUE,1804,gdpdep,35340
150000,LIMA,1804,gdpdep,171770
160000,LORETO,1804,gdpdep,35321.76
170000,MADRE DE DIOS,1804,gdpdep,36165.00566
180000,MOQUEGUA,1804,gdpdep,28195
190000,PASCO,1804,gdpdep,78515.90958
200000,PIURA,1804,gdpdep,36711
210000,PUNO,1804,gdpdep,72560.43936
220000,SAN MARTIN,1804,gdpdep,37266.06017
230000,TACNA,1804,gdpdep,22105
240000,TUMBES,1804,gdpdep,3137
250000,UCAYALI,1804,gdpdep,48836.51133
10000,AMAZONAS,1805,gdpdep,35325.30791
20000,ANCASH,1805,gdpdep,73656
30000,APURIMAC,1805,gdpdep,69145
40000,AREQUIPA,1805,gdpdep,93008
50000,AYACUCHO,1805,gdpdep,109131
60000,CAJAMARCA,1805,gdpdep,64723.74924
80000,CUSCO,1805,gdpdep,162625.7277
90000,HUANCAVELICA,1805,gdpdep,49954
100000,HUANUCO,1805,gdpdep,31455.03082
110000,ICA,1805,gdpdep,27364
120000,JUNIN,1805,gdpdep,44712.50648
130000,LA LIBERTAD,1805,gdpdep,75411.16335
140000,LAMBAYEQUE,1805,gdpdep,37522
150000,LIMA,1805,gdpdep,180196
160000,LORETO,1805,gdpdep,35460.76
170000,MADRE DE DIOS,1805,gdpdep,36338.00566
180000,MOQUEGUA,1805,gdpdep,29906
190000,PASCO,1805,gdpdep,78479.90958
200000,PIURA,1805,gdpdep,38548
210000,PUNO,1805,gdpdep,77645.43936
220000,SAN MARTIN,1805,gdpdep,38570.06017
230000,TACNA,1805,gdpdep,22656
240000,TUMBES,1805,gdpdep,3238
250000,UCAYALI,1805,gdpdep,48876.51133
10000,AMAZONAS,1806,gdpdep,38156.30791
20000,ANCASH,1806,gdpdep,78575
30000,APURIMAC,1806,gdpdep,72255
40000,AREQUIPA,1806,gdpdep,98193
50000,AYACUCHO,1806,gdpdep,109677
60000,CAJAMARCA,1806,gdpdep,69113.74924
80000,CUSCO,1806,gdpdep,171706.7277
90000,HUANCAVELICA,1806,gdpdep,52776
100000,HUANUCO,1806,gdpdep,33484.03082
110000,ICA,1806,gdpdep,28159
120000,JUNIN,1806,gdpdep,46565.50648
130000,LA LIBERTAD,1806,gdpdep,80085.16335
140000,LAMBAYEQUE,1806,gdpdep,40764
150000,LIMA,1806,gdpdep,192741
160000,LORETO,1806,gdpdep,35686.76
170000,MADRE DE DIOS,1806,gdpdep,36604.00566
180000,MOQUEGUA,1806,gdpdep,31413
190000,PASCO,1806,gdpdep,71509.90958
200000,PIURA,1806,gdpdep,40886
210000,PUNO,1806,gdpdep,82074.43936
220000,SAN MARTIN,1806,gdpdep,40637.06017
230000,TACNA,1806,gdpdep,23701
240000,TUMBES,1806,gdpdep,3407
250000,UCAYALI,1806,gdpdep,48933.51133
10000,AMAZONAS,1807,gdpdep,39376.30791
20000,ANCASH,1807,gdpdep,80077
30000,APURIMAC,1807,gdpdep,72304
40000,AREQUIPA,1807,gdpdep,101473
50000,AYACUCHO,1807,gdpdep,110061
60000,CAJAMARCA,1807,gdpdep,70598.74924
80000,CUSCO,1807,gdpdep,174060.7277
90000,HUANCAVELICA,1807,gdpdep,53047
100000,HUANUCO,1807,gdpdep,34265.03082
110000,ICA,1807,gdpdep,28043
120000,JUNIN,1807,gdpdep,46462.50648
130000,LA LIBERTAD,1807,gdpdep,81333.16335
140000,LAMBAYEQUE,1807,gdpdep,42259
150000,LIMA,1807,gdpdep,198114
160000,LORETO,1807,gdpdep,35739.76
170000,MADRE DE DIOS,1807,gdpdep,36665.00566
180000,MOQUEGUA,1807,gdpdep,31381
190000,PASCO,1807,gdpdep,78676.90958
200000,PIURA,1807,gdpdep,41567
210000,PUNO,1807,gdpdep,86511.43936
220000,SAN MARTIN,1807,gdpdep,41588.06017
230000,TACNA,1807,gdpdep,23824
240000,TUMBES,1807,gdpdep,3448
250000,UCAYALI,1807,gdpdep,48958.51133
10000,AMAZONAS,1808,gdpdep,39156.30791
20000,ANCASH,1808,gdpdep,78437
30000,APURIMAC,1808,gdpdep,69780
40000,AREQUIPA,1808,gdpdep,98883
50000,AYACUCHO,1808,gdpdep,105723
60000,CAJAMARCA,1808,gdpdep,69388.74924
80000,CUSCO,1808,gdpdep,169110.7277
90000,HUANCAVELICA,1808,gdpdep,51320
100000,HUANUCO,1808,gdpdep,33511.03082
110000,ICA,1808,gdpdep,26681
120000,JUNIN,1808,gdpdep,44616.50648
130000,LA LIBERTAD,1808,gdpdep,85023.16335
140000,LAMBAYEQUE,1808,gdpdep,41907
150000,LIMA,1808,gdpdep,195702
160000,LORETO,1808,gdpdep,35588.76
170000,MADRE DE DIOS,1808,gdpdep,36498.00566
180000,MOQUEGUA,1808,gdpdep,30322
190000,PASCO,1808,gdpdep,84541.90958
200000,PIURA,1808,gdpdep,40583
210000,PUNO,1808,gdpdep,85441.43936
220000,SAN MARTIN,1808,gdpdep,41060.06017
230000,TACNA,1808,gdpdep,22901
240000,TUMBES,1808,gdpdep,3338
250000,UCAYALI,1808,gdpdep,48942.51133
10000,AMAZONAS,1809,gdpdep,39522.30791
20000,ANCASH,1809,gdpdep,77175
30000,APURIMAC,1809,gdpdep,68507
40000,AREQUIPA,1809,gdpdep,96268
50000,AYACUCHO,1809,gdpdep,101279
60000,CAJAMARCA,1809,gdpdep,68760.74924
80000,CUSCO,1809,gdpdep,163726.7277
90000,HUANCAVELICA,1809,gdpdep,50532
100000,HUANUCO,1809,gdpdep,32251.03082
110000,ICA,1809,gdpdep,25490
120000,JUNIN,1809,gdpdep,43270.50648
130000,LA LIBERTAD,1809,gdpdep,80727.16335
140000,LAMBAYEQUE,1809,gdpdep,41258
150000,LIMA,1809,gdpdep,189479
160000,LORETO,1809,gdpdep,35415.76
170000,MADRE DE DIOS,1809,gdpdep,36286.00566
180000,MOQUEGUA,1809,gdpdep,30081
190000,PASCO,1809,gdpdep,85133.90958
200000,PIURA,1809,gdpdep,39800
210000,PUNO,1809,gdpdep,86869.43936
220000,SAN MARTIN,1809,gdpdep,40010.06017
230000,TACNA,1809,gdpdep,21729
240000,TUMBES,1809,gdpdep,3203
250000,UCAYALI,1809,gdpdep,48916.51133
10000,AMAZONAS,1810,gdpdep,40072.30791
20000,ANCASH,1810,gdpdep,75247
30000,APURIMAC,1810,gdpdep,67698
40000,AREQUIPA,1810,gdpdep,94243
50000,AYACUCHO,1810,gdpdep,97148
60000,CAJAMARCA,1810,gdpdep,67727.74924
80000,CUSCO,1810,gdpdep,156384.7277
90000,HUANCAVELICA,1810,gdpdep,50147
100000,HUANUCO,1810,gdpdep,30154.03082
110000,ICA,1810,gdpdep,24118
120000,JUNIN,1810,gdpdep,42011.50648
130000,LA LIBERTAD,1810,gdpdep,78542.16335
140000,LAMBAYEQUE,1810,gdpdep,39592
150000,LIMA,1810,gdpdep,182966
160000,LORETO,1810,gdpdep,35173.76
170000,MADRE DE DIOS,1810,gdpdep,35978.00566
180000,MOQUEGUA,1810,gdpdep,30266
190000,PASCO,1810,gdpdep,74202.90958
200000,PIURA,1810,gdpdep,38727
210000,PUNO,1810,gdpdep,92508.43936
220000,SAN MARTIN,1810,gdpdep,38163.06017
230000,TACNA,1810,gdpdep,20114
240000,TUMBES,1810,gdpdep,3022
250000,UCAYALI,1810,gdpdep,48868.51133
10000,AMAZONAS,1811,gdpdep,37748.30791
20000,ANCASH,1811,gdpdep,68251
30000,APURIMAC,1811,gdpdep,62432
40000,AREQUIPA,1811,gdpdep,82873
50000,AYACUCHO,1811,gdpdep,84246
60000,CAJAMARCA,1811,gdpdep,62146.74924
80000,CUSCO,1811,gdpdep,138103.7277
90000,HUANCAVELICA,1811,gdpdep,46403
100000,HUANUCO,1811,gdpdep,25980.03082
110000,ICA,1811,gdpdep,21226
120000,JUNIN,1811,gdpdep,38164.50648
130000,LA LIBERTAD,1811,gdpdep,68484.16335
140000,LAMBAYEQUE,1811,gdpdep,35037
150000,LIMA,1811,gdpdep,158495
160000,LORETO,1811,gdpdep,34668.76
170000,MADRE DE DIOS,1811,gdpdep,35367.00566
180000,MOQUEGUA,1811,gdpdep,28500
190000,PASCO,1811,gdpdep,83835.90958
200000,PIURA,1811,gdpdep,34937
210000,PUNO,1811,gdpdep,88174.43936
220000,SAN MARTIN,1811,gdpdep,34245.06017
230000,TACNA,1811,gdpdep,17118
240000,TUMBES,1811,gdpdep,2628
250000,UCAYALI,1811,gdpdep,48767.51133
10000,AMAZONAS,1812,gdpdep,38358.30791
20000,ANCASH,1812,gdpdep,68442
30000,APURIMAC,1812,gdpdep,62708
40000,AREQUIPA,1812,gdpdep,82048
50000,AYACUCHO,1812,gdpdep,83356
60000,CAJAMARCA,1812,gdpdep,62420.74924
80000,CUSCO,1812,gdpdep,136502.7277
90000,HUANCAVELICA,1812,gdpdep,45909
100000,HUANUCO,1812,gdpdep,25291.03082
110000,ICA,1812,gdpdep,20648
120000,JUNIN,1812,gdpdep,37812.50648
130000,LA LIBERTAD,1812,gdpdep,66483.16335
140000,LAMBAYEQUE,1812,gdpdep,34975
150000,LIMA,1812,gdpdep,157797
160000,LORETO,1812,gdpdep,34607.76
170000,MADRE DE DIOS,1812,gdpdep,35251.00566
180000,MOQUEGUA,1812,gdpdep,28360
190000,PASCO,1812,gdpdep,76241.90958
200000,PIURA,1812,gdpdep,34970
210000,PUNO,1812,gdpdep,90709.43936
220000,SAN MARTIN,1812,gdpdep,33944.06017
230000,TACNA,1812,gdpdep,16595
240000,TUMBES,1812,gdpdep,2596
250000,UCAYALI,1812,gdpdep,48752.51133
10000,AMAZONAS,1813,gdpdep,37358.30791
20000,ANCASH,1813,gdpdep,67580
30000,APURIMAC,1813,gdpdep,60944
40000,AREQUIPA,1813,gdpdep,79604
50000,AYACUCHO,1813,gdpdep,79111
60000,CAJAMARCA,1813,gdpdep,61710.74924
80000,CUSCO,1813,gdpdep,131583.7277
90000,HUANCAVELICA,1813,gdpdep,43843
100000,HUANUCO,1813,gdpdep,24485.03082
110000,ICA,1813,gdpdep,19652
120000,JUNIN,1813,gdpdep,36471.50648
130000,LA LIBERTAD,1813,gdpdep,68667.16335
140000,LAMBAYEQUE,1813,gdpdep,34615
150000,LIMA,1813,gdpdep,154813
160000,LORETO,1813,gdpdep,34480.76
170000,MADRE DE DIOS,1813,gdpdep,35121.00566
180000,MOQUEGUA,1813,gdpdep,27431
190000,PASCO,1813,gdpdep,67782.90958
200000,PIURA,1813,gdpdep,34096
210000,PUNO,1813,gdpdep,89487.43936
220000,SAN MARTIN,1813,gdpdep,32960.06017
230000,TACNA,1813,gdpdep,15796
240000,TUMBES,1813,gdpdep,2493
250000,UCAYALI,1813,gdpdep,48736.51133
10000,AMAZONAS,1814,gdpdep,36693.30791
20000,ANCASH,1814,gdpdep,68783
30000,APURIMAC,1814,gdpdep,59953
40000,AREQUIPA,1814,gdpdep,80907
50000,AYACUCHO,1814,gdpdep,77590
60000,CAJAMARCA,1814,gdpdep,61728.74924
80000,CUSCO,1814,gdpdep,131825.7277
90000,HUANCAVELICA,1814,gdpdep,41920
100000,HUANUCO,1814,gdpdep,25106.03082
110000,ICA,1814,gdpdep,19235
120000,JUNIN,1814,gdpdep,35719.50648
130000,LA LIBERTAD,1814,gdpdep,67812.16335
140000,LAMBAYEQUE,1814,gdpdep,36110
150000,LIMA,1814,gdpdep,159257
160000,LORETO,1814,gdpdep,34503.76
170000,MADRE DE DIOS,1814,gdpdep,35173.00566
180000,MOQUEGUA,1814,gdpdep,26414
190000,PASCO,1814,gdpdep,65395.90958
200000,PIURA,1814,gdpdep,33849
210000,PUNO,1814,gdpdep,87327.43936
220000,SAN MARTIN,1814,gdpdep,33439.06017
230000,TACNA,1814,gdpdep,15889
240000,TUMBES,1814,gdpdep,2505
250000,UCAYALI,1814,gdpdep,48754.51133
10000,AMAZONAS,1815,gdpdep,36309.30791
20000,ANCASH,1815,gdpdep,69960
30000,APURIMAC,1815,gdpdep,59529
40000,AREQUIPA,1815,gdpdep,82918
50000,AYACUCHO,1815,gdpdep,76052
60000,CAJAMARCA,1815,gdpdep,62653.74924
80000,CUSCO,1815,gdpdep,132199.7277
90000,HUANCAVELICA,1815,gdpdep,40389
100000,HUANUCO,1815,gdpdep,25558.03082
110000,ICA,1815,gdpdep,18846
120000,JUNIN,1815,gdpdep,35193.50648
130000,LA LIBERTAD,1815,gdpdep,65825.16335
140000,LAMBAYEQUE,1815,gdpdep,37166
150000,LIMA,1815,gdpdep,162951
160000,LORETO,1815,gdpdep,34518.76
170000,MADRE DE DIOS,1815,gdpdep,35207.00566
180000,MOQUEGUA,1815,gdpdep,25704
190000,PASCO,1815,gdpdep,57945.90958
200000,PIURA,1815,gdpdep,34077
210000,PUNO,1815,gdpdep,84836.43936
220000,SAN MARTIN,1815,gdpdep,33808.06017
230000,TACNA,1815,gdpdep,15932
240000,TUMBES,1815,gdpdep,2514
250000,UCAYALI,1815,gdpdep,48768.51133
10000,AMAZONAS,1816,gdpdep,36851.30791
20000,ANCASH,1816,gdpdep,73041
30000,APURIMAC,1816,gdpdep,60777
40000,AREQUIPA,1816,gdpdep,87377
50000,AYACUCHO,1816,gdpdep,78482
60000,CAJAMARCA,1816,gdpdep,64954.74924
80000,CUSCO,1816,gdpdep,135992.7277
90000,HUANCAVELICA,1816,gdpdep,39921
100000,HUANUCO,1816,gdpdep,26581.03082
110000,ICA,1816,gdpdep,18954
120000,JUNIN,1816,gdpdep,35582.50648
130000,LA LIBERTAD,1816,gdpdep,66628.16335
140000,LAMBAYEQUE,1816,gdpdep,39194
150000,LIMA,1816,gdpdep,171737
160000,LORETO,1816,gdpdep,34616.76
170000,MADRE DE DIOS,1816,gdpdep,35330.00566
180000,MOQUEGUA,1816,gdpdep,25694
190000,PASCO,1816,gdpdep,56706.90958
200000,PIURA,1816,gdpdep,35078
210000,PUNO,1816,gdpdep,90067.43936
220000,SAN MARTIN,1816,gdpdep,34766.06017
230000,TACNA,1816,gdpdep,16336
240000,TUMBES,1816,gdpdep,2588
250000,UCAYALI,1816,gdpdep,48797.51133
10000,AMAZONAS,1817,gdpdep,35862.30791
20000,ANCASH,1817,gdpdep,73475
30000,APURIMAC,1817,gdpdep,59418
40000,AREQUIPA,1817,gdpdep,87151
50000,AYACUCHO,1817,gdpdep,77601
60000,CAJAMARCA,1817,gdpdep,64913.74924
80000,CUSCO,1817,gdpdep,133854.7277
90000,HUANCAVELICA,1817,gdpdep,37950
100000,HUANUCO,1817,gdpdep,26597.03082
110000,ICA,1817,gdpdep,18257
120000,JUNIN,1817,gdpdep,34592.50648
130000,LA LIBERTAD,1817,gdpdep,67196.16335
140000,LAMBAYEQUE,1817,gdpdep,39842
150000,LIMA,1817,gdpdep,173554
160000,LORETO,1817,gdpdep,34566.76
170000,MADRE DE DIOS,1817,gdpdep,35306.00566
180000,MOQUEGUA,1817,gdpdep,24834
190000,PASCO,1817,gdpdep,53207.90958
200000,PIURA,1817,gdpdep,34566
210000,PUNO,1817,gdpdep,91659.43936
220000,SAN MARTIN,1817,gdpdep,34633.06017
230000,TACNA,1817,gdpdep,15986
240000,TUMBES,1817,gdpdep,2533
250000,UCAYALI,1817,gdpdep,48800.51133
10000,AMAZONAS,1818,gdpdep,36410.30791
20000,ANCASH,1818,gdpdep,76599
30000,APURIMAC,1818,gdpdep,60680
40000,AREQUIPA,1818,gdpdep,87974
50000,AYACUCHO,1818,gdpdep,79325
60000,CAJAMARCA,1818,gdpdep,67162.74924
80000,CUSCO,1818,gdpdep,137916.7277
90000,HUANCAVELICA,1818,gdpdep,37381
100000,HUANUCO,1818,gdpdep,27629.03082
110000,ICA,1818,gdpdep,18324
120000,JUNIN,1818,gdpdep,34959.50648
130000,LA LIBERTAD,1818,gdpdep,64185.16335
140000,LAMBAYEQUE,1818,gdpdep,41924
150000,LIMA,1818,gdpdep,180747
160000,LORETO,1818,gdpdep,34669.76
170000,MADRE DE DIOS,1818,gdpdep,35424.00566
180000,MOQUEGUA,1818,gdpdep,24755
190000,PASCO,1818,gdpdep,52513.90958
200000,PIURA,1818,gdpdep,35608
210000,PUNO,1818,gdpdep,89889.43936
220000,SAN MARTIN,1818,gdpdep,35668.06017
230000,TACNA,1818,gdpdep,16407
240000,TUMBES,1818,gdpdep,2611
250000,UCAYALI,1818,gdpdep,48828.51133
10000,AMAZONAS,1819,gdpdep,34442.30791
20000,ANCASH,1819,gdpdep,74132
30000,APURIMAC,1819,gdpdep,58498
40000,AREQUIPA,1819,gdpdep,82917
50000,AYACUCHO,1819,gdpdep,73641
60000,CAJAMARCA,1819,gdpdep,64797.74924
80000,CUSCO,1819,gdpdep,130171.7277
90000,HUANCAVELICA,1819,gdpdep,34741
100000,HUANUCO,1819,gdpdep,25810.03082
110000,ICA,1819,gdpdep,17022
120000,JUNIN,1819,gdpdep,33302.50648
130000,LA LIBERTAD,1819,gdpdep,59507.16335
140000,LAMBAYEQUE,1819,gdpdep,39920
150000,LIMA,1819,gdpdep,172617
